pickup_hour,zone_id,trips,hour_of_week,mean,std,z
2024-01-12 10:00:00,233,137,106,75.0,10.198039027185569,6.079600189283705
2024-01-05 17:00:00,24,51,113,21.333333333333332,4.898979485566356,6.055682975213969
2024-01-14 23:00:00,249,238,167,90.0,24.55832060852515,6.026470716756725
2024-01-28 12:00:00,246,185,156,96.44444444444444,14.788216864270394,5.988251076403499
2024-01-13 13:00:00,226,10,133,3.2222222222222223,1.1331154474650633,5.981542121714613
2024-01-20 06:00:00,7,9,126,2.375,1.1110243021644486,5.962965874907927
2024-01-14 23:00:00,255,9,167,2.125,1.165922381636102,5.896618941607871
2024-01-16 00:00:00,226,9,24,2.2857142857142856,1.1605769149479943,5.785300076028639
2024-01-14 23:00:00,114,160,167,59.888888888888886,17.37459476390389,5.76192495258043
2024-01-29 08:00:00,61,10,8,2.857142857142857,1.2453996981544782,5.735393346764043
2024-01-14 10:00:00,244,10,154,3.0,1.224744871391589,5.715476066494083
2024-01-05 11:00:00,143,134,107,66.0,11.907047399661167,5.710903611749714
2024-01-05 08:00:00,226,12,104,3.6666666666666665,1.4907119849998598,5.5901699437494745
2024-01-04 17:00:00,166,124,89,45.55555555555556,14.03258993368343,5.590161532202165
2024-01-15 03:00:00,107,11,3,5.125,1.0532687216470449,5.5778737935111105
2024-01-15 01:00:00,229,25,1,9.5,2.7838821814150108,5.567764362830022
2024-01-23 09:00:00,232,9,33,3.2857142857142856,1.0301575072754257,5.54700196225229
2024-01-15 02:00:00,144,15,2,3.125,2.1469455046647083,5.531113842526029
2024-01-28 11:00:00,116,10,155,3.5555555555555554,1.1653431646335017,5.5300830176244355
2024-01-15 00:00:00,144,40,0,9.625,5.498579361980693,5.524154149710835
2024-01-08 19:00:00,238,199,19,97.5,18.425525772688278,5.50866234441196
2024-01-05 13:00:00,152,10,109,2.6666666666666665,1.3333333333333333,5.500000000000001
2024-01-15 15:00:00,246,321,15,110.5,38.532453853861945,5.462927453266838
2024-01-31 09:00:00,75,57,57,41.22222222222222,2.8974232912011773,5.4454514208163305
2024-01-15 13:00:00,246,249,13,87.125,29.775986549567087,5.4364277647201416
2024-01-13 18:00:00,145,12,138,3.2222222222222223,1.617802197617893,5.425742275973217
2024-01-04 15:00:00,152,21,87,4.777777777777778,3.010270485365348,5.3889583348366035
2024-01-16 08:00:00,33,9,32,3.0,1.118033988749895,5.366563145999495
2024-01-28 04:00:00,226,9,148,3.0,1.118033988749895,5.366563145999495
2024-01-01 00:00:00,255,9,0,2.3333333333333335,1.247219128924647,5.3452248382484875
2024-01-01 05:00:00,48,110,5,35.375,14.061805538407933,5.306928743693108
2024-01-01 01:00:00,161,186,1,21.125,31.0983821926479,5.301722738457398
2024-01-20 19:00:00,181,11,139,3.0,1.5118578920369088,5.291502622129181
2024-01-27 21:00:00,166,70,141,20.11111111111111,9.433326789684944,5.288578462419098
2024-01-16 01:00:00,132,200,25,54.75,27.476126000584582,5.286407552393291
2024-01-23 00:00:00,164,130,24,39.125,17.229607511490215,5.274351138840311
2024-01-15 00:00:00,90,46,0,23.5,4.272001872658765,5.266851623825876
2024-01-15 12:00:00,232,12,12,3.0,1.7320508075688772,5.196152422706632
2024-01-27 23:00:00,100,120,143,68.88888888888889,9.859506911768452,5.183941911953441
2024-01-15 00:00:00,79,119,0,45.375,14.247258508218344,5.167660849105137
2024-01-30 03:00:00,246,15,27,4.375,2.057759704144291,5.163382283461689
2024-01-28 14:00:00,246,246,158,124.0,23.640830968662858,5.16056310210573
2024-01-03 06:00:00,132,259,54,124.55555555555556,26.141117510377363,5.143025901286485
2024-01-04 19:00:00,244,10,91,2.125,1.5360257159305635,5.126867290258304
2024-01-01 05:00:00,249,23,5,5.75,3.3819373146171707,5.100626769586553
2024-01-06 13:00:00,226,9,133,3.2222222222222223,1.1331154474650633,5.0990195135927845
2024-01-12 15:00:00,146,8,111,2.375,1.1110243021644486,5.062895554167108
2024-01-15 17:00:00,186,332,17,165.75,32.93079865414746,5.048465472885265
2024-01-06 21:00:00,186,331,141,139.66666666666666,37.98245208865097,5.037413932274875
2024-01-01 05:00:00,231,12,5,3.125,1.7633419974582356,5.033056555559185
2024-01-02 10:00:00,148,22,34,11.875,2.027159342528357,4.99467396942348
2024-01-28 13:00:00,246,237,157,110.33333333333333,25.573423705088842,4.953058617703243
